[2025-07-23 17:29:17] (Elapsed: 9.13s) Processing frame 24
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.88
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.85
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.81
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.80
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.75
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.74
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.64
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.56
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.39
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.28
[2025-07-23 17:29:17] (Elapsed: 9.32s) Detected: car with confidence 0.26
[2025-07-23 17:29:17] (Elapsed: 9.32s) Processing frame 25
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.88
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.86
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.81
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.78
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.78
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.70
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.68
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.48
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.40
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.40
[2025-07-23 17:29:17] (Elapsed: 9.52s) Detected: car with confidence 0.29
[2025-07-23 17:29:17] (Elapsed: 9.52s) Processing frame 26
